head_node,relation,tail_node
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-a-398
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-b-20296
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-b-16207
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-b-18162
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-b-11411
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-d-41215_0
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-b-10387
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-a-381
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-b-2053
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-a-369
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-b-9543
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-a-380
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-a-348
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-b-11578
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-a-326
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-b-15378
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-a-386
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-b-2091
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-b-11749
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-b-1260
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-b-10591
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-a-295
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-d-41231_1
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-d-22607_1
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-a-294
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-b-18335
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-b-20292
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-a-310
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-d-22606_2
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-a-328
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-b-6019
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-b-8147
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-a-194
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-d-20544_11
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-b-13764
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-b-12841
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-a-259
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-a-305
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-b-9937
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-a-251
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-b-6306
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-a-223
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-b-18042
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-a-44
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-b-10011
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-b-14486
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-a-245
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-b-929
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-b-4063
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-a-22
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-d-22610_1
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-d-22609_2
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-a-18
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-b-960
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-a-206
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-b-9127
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-b-14960
